State,total_vehicles_sold,electric_vehicles_sold,vehicle_category,Fiscal yr 2022
Andaman & Nicobar Island,3979,0,2-Wheelers,2022
Andhra Pradesh,685787,13465,2-Wheelers,2022
Arunachal Pradesh,12241,0,2-Wheelers,2022
Assam,311051,719,2-Wheelers,2022
Bihar,827949,4750,2-Wheelers,2022
Chandigarh,16238,286,2-Wheelers,2022
Chhattisgarh,343361,4414,2-Wheelers,2022
Delhi,266195,14258,2-Wheelers,2022
DNH and DD,8688,30,2-Wheelers,2022
Goa,34507,1443,2-Wheelers,2022
Gujarat,831276,16763,2-Wheelers,2022
Haryana,353601,5803,2-Wheelers,2022
Himachal Pradesh,57316,424,2-Wheelers,2022
Jammu and Kashmir,79740,1418,2-Wheelers,2022
Jharkhand,359342,2656,2-Wheelers,2022
Karnataka,803642,41278,2-Wheelers,2022
Kerala,492007,11405,2-Wheelers,2022
Ladakh,268,12,2-Wheelers,2022
Madhya Pradesh,841981,7672,2-Wheelers,2022
Maharashtra,1311960,41903,2-Wheelers,2022
Manipur,28585,25,2-Wheelers,2022
Meghalaya,12939,0,2-Wheelers,2022
Mizoram,16068,0,2-Wheelers,2022
Nagaland,5516,1,2-Wheelers,2022
Odisha,422237,9357,2-Wheelers,2022
Puducherry,35437,723,2-Wheelers,2022
Punjab,337637,4481,2-Wheelers,2022
Rajasthan,734752,19315,2-Wheelers,2022
Sikkim,4858,0,2-Wheelers,2022
Tamil Nadu,1149301,35677,2-Wheelers,2022
Tripura,33590,28,2-Wheelers,2022
Uttar Pradesh,2182150,10102,2-Wheelers,2022
Uttarakhand,131539,1898,2-Wheelers,2022
West Bengal,766927,2267,2-Wheelers,2022
Andaman & Nicobar Island,1169,22,4-Wheelers,2022
Andhra Pradesh,86961,463,4-Wheelers,2022
Arunachal Pradesh,7688,0,4-Wheelers,2022
Assam,68399,11,4-Wheelers,2022
Bihar,64924,79,4-Wheelers,2022
Chandigarh,20716,125,4-Wheelers,2022
Chhattisgarh,46911,120,4-Wheelers,2022
Delhi,135345,2277,4-Wheelers,2022
DNH and DD,3725,5,4-Wheelers,2022
Goa,13865,335,4-Wheelers,2022
Gujarat,263596,1263,4-Wheelers,2022
Haryana,174990,123,4-Wheelers,2022
Himachal Pradesh,40950,19,4-Wheelers,2022
Jammu and Kashmir,54203,16,4-Wheelers,2022
Jharkhand,52271,57,4-Wheelers,2022
Karnataka,204252,1833,4-Wheelers,2022
Kerala,197568,2234,4-Wheelers,2022
Ladakh,2643,0,4-Wheelers,2022
Madhya Pradesh,125198,244,4-Wheelers,2022
